Evento,Lugar,Fecha,Orden,Track,Tipo,Programa Evento,Autor,T√≠tulo,Video,Palabras clave,Descripci√≥n,Recursos
Pycon 2021,Online,2021-11-06,05,A,Charla,https://pycon.cl/2021/#schedule,Omar Sanseviero,Cómo construir demos de Machine Learning con Python,https://www.youtube.com/watch?v=Mg7YeWBUKbM,,,"• http://hf.co/spaces
• https://hf.co/spaces/launch
• https://hf.co/join/discord

• https://huggingface.co/spaces/flax-community/dalle-mini
• https://huggingface.co/spaces/flax-community/chef-transformer
• https://huggingface.co/spaces/nielsr/LayoutLMv2-FUNSD
• https://github.com/TheHackerLlama/charlas/blob/main/gradio_demos.ipynb

• http://hf.co/models tiene 20000 modelos Open Source compartidos por la comunidad. Casi 400 en espanol, pero podemos tener muchos mas!

• slides: https://www.canva.com/design/DAEu5fZ_wTY/Ra_T_nb4K9AJz6rz0hb43Q/view"
Pycon 2021,Online,2021-11-06,06,,Keynote,https://pycon.cl/2021/#schedule,"Alex Harasic, Sebastian Kreft, Marḱia Noel de la Paz y Daniel Márquez",Industria Tecnológica en Chile: Innovando y emprendiendo con Python,https://www.youtube.com/watch?v=bU9r9YqVPCY,,,
Pycon 2021,Online,2021-11-06,07,,Keynote,https://pycon.cl/2021/#schedule,Roberto Toro,Neuroscience & Python: BFF ❤️,https://www.youtube.com/watch?v=EUUYTspUCwA,,,
Pycon 2021,Online,2021-11-06,08,A,Charla,https://pycon.cl/2021/#schedule,Marco Muñoz,Benchmark Profesionales TI Latam,https://www.youtube.com/watch?v=j065mTRM9oU,,,https://it-talenthh.com/2021/11/04/white-paper-benchmark-profesionales-ti-latam/
Pycon 2021,Online,2021-11-06,09,A,Charla,https://pycon.cl/2021/#schedule,Fernando Irarrazaval,Introducción a los modelos bayesianos usando PyMC3,https://www.youtube.com/watch?v=0C6HnEHLaf0,,,"• https://thelancet.com/journals/eclinm/article/PIIS2589-5370(21)00160-7/fulltext#
• https://docs.pymc.io/en/stable/nb_examples/index.html
• https://www.amazon.com/Bayesian-Statistics-Fun-Will-Kurt/dp/1593279566
• https://en.wikipedia.org/wiki/Maximum_entropy_probability_distribution
• https://twiecki.io/blog/2019/01/14/supply_chain/"
Pycon 2021,Online,2021-11-06,10,A,Charla,https://pycon.cl/2021/#schedule,Ricardo Leonardo Vega Mora,Programación creativa: Por que los diseñadores deben aprender a programar (y porque Python puede ser un gran aliado!),https://www.youtube.com/watch?v=ISY0LiI6qiU,,,"• https://issuu.com/ricardov_net
• https://www.youtube.com/watch?v=eCG0M6T5sMU
• Drawbot  (Python) drawbot.com y/o Processing (Java) Processing.org"
Pycon 2021,Online,2021-11-06,11,A,Charla,https://pycon.cl/2021/#schedule,Raquel Pezoa Rivera,Clasificación desbalanceada con Python: modificando datos y algoritmos,https://www.youtube.com/watch?v=pB262BOPRfg,,,"• https://github.com/rpezoa/imbalanced-class
• https://drive.google.com/drive/folders/1Riowx9j8xutNaVJQTmtxkBn01xogSV5g?usp=sharing"
Pycon 2021,Online,2021-11-06,02,B,Charla,https://pycon.cl/2021/#schedule,Alison Orellana Rios,Reconocimiento de figuras con Visión Artificial,https://www.youtube.com/watch?v=rC5KCVC0CuU,,,https://github.com/AllyOR/OpenCV_Examples
Pycon 2021,Online,2021-11-06,03,B,Charla,https://pycon.cl/2021/#schedule,Rodrigo Tobar,"Usando Python en el SKA, el radio-observatorio más grande del mundo",https://www.youtube.com/watch?v=kJ2wt1iM0m8,,,"https://docs.google.com/presentation/d/1WALCPJeAb39SAKKZzjSra__DZJq8cn9nomBfeIkW1Cs/edit?usp=sharing

 • Página oficial del telescopio SKA 📡: https://www.skatelescope.org/
 • Código fuente desarrollado para el SKA 💻: https://gitlab.com/ska-telescope
 • Documentación para desarrolladores 📖: https://developer.skao.int/

 • Sitio web 🌐  : https://icrar.org/
 • GitHub: https://github.com/ICRAR

 • https://github.com/rtobar
 • https://gitlab.com/rtobar
 • https://developer.skao.int/en/latest/getting-started/contrib-guidelines.html"
Pycon 2021,Online,2021-11-06,04,B,Charla,https://pycon.cl/2021/#schedule,Emiliano Martin,Profiling & Optimization in Python,https://www.youtube.com/watch?v=kWqBfpFI9cA,,,"• https://medium.com/@mjspeck/presenting-code-using-jupyter-notebook-slides-a8a3c3b59d67
• https://github.com/emimartin26/profiling_optimization_pyconcl2021
• https://rise.readthedocs.io/en/stable/usage.html funciona con los jupyter notebooks"
Pycon 2021,Online,2021-11-06,05,B,Charla,https://pycon.cl/2021/#schedule,Federico Garza Ramírez,Nixtla: Deep Learning para pronóstico de series de tiempo,https://www.youtube.com/watch?v=OiBToijcHac,,,"• Nixtla, ecosistema de pronóstico de series de tiempo: https://github.com/Nixtla
• nixtlats, deep learning para pronóstico de series de tiempo: https://github.com/Nixtla/nixtlats
• Blog de replicación:       https://nixtla.github.io/blog/deep%20learning/forecasting/m4/2021/06/25/esrnn-i.html
• GitHub: https://github.com/FedericoGarza"
Pycon 2021,Online,2021-11-06,08,B,Charla,https://pycon.cl/2021/#schedule,Luis Falcon,"MyGNUHealth, la aplicación de gestión de salud personal de GNU Health",https://www.youtube.com/watch?v=A9Zo9Quhkqs,,,"• GNU Health : https://www.gnuhealth.org/
• GNU Solidario (ONG): https://www.gnusolidario.org/
• Conferencia anual - GNU Health Con - : https://www.gnuhealthcon.org/ "
Pycon 2021,Online,2021-11-06,09,B,Charla,https://pycon.cl/2021/#schedule,Rodrigo Tesone,¿Podemos hablar sin pelear? Una pequeña conversación entre la política y el análisis de datos,https://www.youtube.com/watch?v=R0ASPEDCgAc,,,https://docs.google.com/document/d/1ycPw1aAA3CZIkScVoC5SA-6Suk_xzw2XghsvL3JfcI8/edit?usp=drivesdk
Pycon 2021,Online,2021-11-06,10,B,Charla,https://pycon.cl/2021/#schedule,Gabriel Ortega Ibarra,Creando un servidor y un bot de Discord para la comunidad estudiantil de informática en la UTFSM,https://www.youtube.com/watch?v=eKllxm8yUYk,,,"• Portal Discord Developer: https://discord.com/developers/docs/intro 
• App Commands: https://canary.discord.com/developers/docs/interactions/application-commands 
• Hikari Docs: https://www.hikari-py.dev/hikari/ 
• Hikari-Lightbulb: https://hikari-lightbulb.readthedocs.io/en/latest/ "
Pycon 2021,Online,2021-11-06,11,B,Charla,https://pycon.cl/2021/#schedule,Patricio Cofre y Roberto Gonzalez,Cómo los observatorios están aprovechando la IA para mejorar su operación y trabajo científico,https://www.youtube.com/watch?v=TvDX38x14DA,,,"• https://news.microsoft.com/es-xl/eso-and-microsoft-will-work-with-artificial-intelligence-to-boost-astronomy/
• https://www.eso.org/public/announcements/annlocal20004-es-cl/
• https://www.youtube.com/watch?v=Pw7OsafylO0 
• https://drive.google.com/file/d/10lea-gn_Vms0dobfsN45gbHOfHg5HQAz/view?usp=sharing"
Pycon 2021,Online,2021-11-07,01,,Keynote,https://pycon.cl/2021/#schedule,Sebastián Ramírez,Modern Python through FastAPI and friends,https://www.youtube.com/watch?v=3IA6y2PBNEY,,,
Pycon 2021,Online,2021-11-07,02,A,Charla,https://pycon.cl/2021/#schedule,Héctor Vega,Buenas prácticas para dejar de ser junior en Python,https://www.youtube.com/watch?v=_-2erPEYbjk,,,Presentación: https://docs.google.com/presentation/d/1eVBthcjRd-rXsCTYfFDOl-qBnWiHEsDtHw4SGXbNsvk/edit#slide=id.p
Pycon 2021,Online,2021-11-07,03,A,Charla,https://pycon.cl/2021/#schedule,Aldo Escobar,Desarrollo de productos de datos automatizados utilizando un stack moderno de datos,https://www.youtube.com/watch?v=2NYcq7oBfFo,,,"• https://github.com/aoelvp94/Spotydash
• Presentación:  https://docs.google.com/presentation/d/1Z-ifinpJuH5b9_acZmZn19BWcmxNDohHJ89yQGBWd4g/edit 
• https://muttdata.ai/blog/ blog
• https://muttdata.ai/blog/2021/09/29/data-engineering-fundamentals.html
• https://muttdata.ai/blog/2021/06/09/muttlib-public-release.html
• https://muttdata.ai/blog/2021/09/15/soam-public-release.html"
Pycon 2021,Online,2021-11-07,04,A,Charla,https://pycon.cl/2021/#schedule,Eduardo Blancas,Desarrollo y despliegue de un proyecto de Machine Learning en 20 minutos con Ploomber,https://www.youtube.com/watch?v=IRUKK9Z4Y1k,,,https://blancas.io/talks/pycon-chile-21.pdf
Pycon 2021,Online,2021-11-07,05,A,Charla,https://pycon.cl/2021/#schedule,Maria Rene Torrez Vargas,Programa tu historia with Renpy,https://www.youtube.com/watch?v=uaFtqen4HLc,,,
Pycon 2021,Online,2021-11-07,06,,Keynote,https://pycon.cl/2021/#schedule,"Stefanni Cavaleto, Loreto Sanchez, Catalina Arrey, Daniela Espinoza y Pamela Bustamante",Mujeres en Tecnología: Chilenas que inspiran,https://www.youtube.com/watch?v=o-ZzEiwT7l0,,,
Pycon 2021,Online,2021-11-07,07,,Keynote,https://pycon.cl/2021/#schedule,Eugenia Bahit,Desarrollo de Aplicaciones Web con Python,https://www.youtube.com/watch?v=rRgn8d7mFXQ,,,
Pycon 2021,Online,2021-11-07,08,A,Charla,https://pycon.cl/2021/#schedule,Robert Rozas Navarro,Python-Flask en Azure Kubernetes Services,https://www.youtube.com/watch?v=3Y_haNh7M8I,,,https://github.com/AshWilliams/AwesomeClinic-Back
Pycon 2021,Online,2021-11-07,09,A,Charla,https://pycon.cl/2021/#schedule,Adrián Fernández Zenteno,TinyML for IoT,https://www.youtube.com/watch?v=cHRaeW05hEI,,,"• https://www.raspberrypi.com/products/raspberry-pi-pico/
• https://store-usa.arduino.cc/products/arduino-nano-33-ble-sense
• https://www.seeedstudio.com/blog/2021/03/26/10-raspberry-pi-pico-projects/
• https://studio.edgeimpulse.com/studio/60782/acquisition/

Tools:
• NanoEdge AI Studio
• https://cartesiam.ai/download/

OctoML
• https://octoml.ai/solutions/edge-devices/

MediaTek 
• https://neuropilot.mediatek.com/

EdgeImpulse
• https://studio.edgeimpulse.com/""
"
Pycon 2021,Online,2021-11-07,10,A,Charla,https://pycon.cl/2021/#schedule,Gonzalo Andrés Peña-Castellanos,"
Democratizando las herramientas de código abierto",https://www.youtube.com/watch?v=Qo9_GgiVB7Q,,,"• Diapositivas: https://docs.google.com/presentation/d/1JN4cZBWbr1o6HrViP2C2kMriEI9yWUSSB4Pvil6XDOQ/edit?usp=sharing
• http://babel.pocoo.org/en/latest/cmdline.html
• https://github.com/jupyterlab/jupyterlab-translate/blob/master/jupyterlab_translate/api.py
• https://jupyterlite.github.io/demo/lab/index.html"
Pycon 2021,Online,2021-11-07,11,A,Charla,https://pycon.cl/2021/#schedule,Rodrigo Flores Figueroa y Carlos Pinto Urtubia,Aplicando Python al desarrollo de nanosatélites,https://www.youtube.com/watch?v=d03XNYkD5sE,,,"Octa Aerospace:
  LinkedIn: https://www.linkedin.com/company/octa-aerospace/
  Página: https://www.octaaerospace.com/
  GitHub: https://github.com/Octa-Aerospace
  Instagram: https://www.instagram.com/octaaerospace/

Repositorio hardware:
https://github.com/Rodrigo-Flores/SIMESAT-CanSat-V2

Repositorio dashboard:
https://github.com/CxrlosKenobi/Dashboard-SIMESAT-1

Presentación:
https://drive.google.com/file/d/1yrVfXaeehUqQpSnrHKw2WR2RRaf85J40/view?usp=sharing "
Pycon 2021,Online,2021-11-07,02,B,Charla,https://pycon.cl/2021/#schedule,Agustín Salas,Python para hackers - Entendiendo y construyendo ataques de día 1,https://www.youtube.com/watch?v=VLyEJoQhuD4,,,"• https://www.comptia.org/es/certificaciones/security 
• https://elearnsecurity.com/product/ejpt-certification/"
Pycon 2021,Online,2021-11-07,03,B,Charla,https://pycon.cl/2021/#schedule,Jorge Anais Vilchez,Búsqueda de cúmulos estelares usando aprendizaje de máquinas no supervisado,https://www.youtube.com/watch?v=XtSLA3wwaBk,,,"https://github.com/adamdempsey90/StarClusters
https://github.com/jorgeanais/apolo
Presentación: https://drive.google.com/file/d/1LyNOVVWYNNLY08txkigK_gEfIQU60HZV/view?usp=sharing
Tesis con todos los detalles de la investigación: https://drive.google.com/file/d/1jOm1EbwCMeIM_4Pfu6WMQxPkQsNnG443/view?usp=sharing"""
Pycon 2021,Online,2021-11-07,04,B,Charla,https://pycon.cl/2021/#schedule,Javier Alonso Diaz Valderrama,Mano robótica controlada mediante visión por computador,https://www.youtube.com/watch?v=wUktn8lHFrY,,,"• https://github.com/jdiazvalderrama/ManoOpenCV
• https://www.computervision.zone/
• https://www.youtube.com/c/MurtazasWorkshopRoboticsandAI"
Pycon 2021,Online,2021-11-07,05,B,Charla,https://pycon.cl/2021/#schedule,Sebastian Flores,"WebApps con Streamlit: ¡más fácil que la tabla del uno, poh!",https://www.youtube.com/watch?v=cZSzK2uIqjY, ,,"• Repositorio de la presentación: https://github.com/sebastiandres/talk_2021_11_pyconcl
• Version en línea: https://share.streamlit.io/sebastiandres/talk_2021_11_pyconcl/main
• Muchos ejemplos: https://share.streamlit.io/napoles-uach/mundaneapps/main/st_parade.py
• https://streamlit.io/terms-of-use
• https://streamlit-components-tutorial.netlify.app/
• https://share.streamlit.io/napoles-uach/mundaneapps/main/st_parade.py""
• https://sebastiandres.xyz/"
Pycon 2021,Online,2021-11-07,08,B,Charla,https://pycon.cl/2021/#schedule,Ernesto Rico Schmidt,"Desarrollo, ejecución de pruebas y despliegue en contenedores Docker",https://www.youtube.com/watch?v=cZYdbh3ASFY,,,"• https://gitlab.com/testdriven/django-tdd-docker
• Presentación: https://rico-schmidt.name/files/pycon-chile-2021.pdf
• Curso de testdriven: https://testdriven.io/courses/tdd-django/"
Pycon 2021,Online,2021-11-07,09,B,Charla,https://pycon.cl/2021/#schedule,Elian Raquel Laura Riveros,Usando Pytorch para crear una red neuronal artificial,https://www.youtube.com/watch?v=NJS1yapJUKc,,,"
• https://drive.google.com/file/d/1FYt_0JtliJRPiN6hYuyEP3wGYbTGk80z/view?usp=sharing"
Pycon 2021,Online,2021-11-07,10,B,Charla,https://pycon.cl/2021/#schedule,Claudio Salazar,Security Code Review in Python,https://www.youtube.com/watch?v=XGqtxRBaX54,,,"• https://slides.com/csalazar/security-code-review-in-python-7ba22e
• https://medium.com/spect/exploiting-the-scraper-756a0981ed12
• https://medium.com/alertot/web-scraping-considered-dangerous-leaking-files-from-the-spiders-host-bd508f81d498"
Pycon 2021,Online,2021-11-07,11,B,Charla,https://pycon.cl/2021/#schedule,Alfonso Tobar,Fallando Rápido hasta el Éxito con Hydra,https://www.youtube.com/watch?v=G69p0G53kmw,,,"• https://hydra.cc/docs/advanced/compose_api
• https://datacuber.cl/"
PyDay 2020,Online,2020-12-05,01,,Keynote,https://pyday.cl/2020/#schedule,Juan Luis Cano Rodriguez,Software científico reproducible en el siglo XXI,https://www.youtube.com/watch?v=Sz9O1Yw1qu8,reproducibilidad; software; ciencia,,
PyDay 2020,Online,2020-12-05,02,,Charla,https://pyday.cl/2020/#schedule,Marilina Santero,The Turing Way: Una guía asertiva para la ciencia de datos reproducible,https://www.youtube.com/watch?v=CFYq2EWmGIk,,,
PyDay 2020,Online,2020-12-06,03,,Charla,https://pyday.cl/2020/#schedule,Alejandro Weinstein,Procesando señales electrofisiológicas usando Python,https://www.youtube.com/watch?v=WKhdNl9PL0Q,,,
PyDay 2020,Online,2020-12-07,04,,Charla,https://pyday.cl/2020/#schedule,Gonzalo Andrés Fernández Carrillo,"5 años de Pythonia: Una historia de anécdotas, aprendizajes y muchos pukamones",https://www.youtube.com/watch?v=LK0X2C4t-Ow,,,
PyDay 2020,Online,2020-12-08,05,,Charla,https://pyday.cl/2020/#schedule,Rodrigo Tobar,ijson: iterando sobre contenidos JSON de forma rápida y eficiente,https://www.youtube.com/watch?v=GGzKCgw4hHk,,,
PyDay 2020,Online,2020-12-09,06,,Keynote,https://pyday.cl/2020/#schedule,Katia Lira,Developing Comunidad,https://www.youtube.com/watch?v=rPjchKSLSfE,,,
PyDay 2020,Online,2020-12-10,07,,Charla,https://pyday.cl/2020/#schedule,Stephanie Frias,"Python para Testers, Porqué y Cómo",https://www.youtube.com/watch?v=3Tbb3YD8lCQ,,,
PyDay 2020,Online,2020-12-11,08,,Charla,https://pyday.cl/2020/#schedule,Victor Suarez,MicroPython y Domótica,https://www.youtube.com/watch?v=ZgBJxD4vbdw,,,
PyDay 2020,Online,2020-12-12,09,,Charla,https://pyday.cl/2020/#schedule,Jon Vadillo Romero,Construye una aplicación web con Django en 15 minutos,https://www.youtube.com/watch?v=bR3QPUFIHWM,,,
PyDay 2020,Online,2020-12-13,10,,Charla,https://pyday.cl/2020/#schedule,Raquel Pezoa Rivera,Como clasifico eventos generados en el experimento ATLAS del LHC con Python,https://www.youtube.com/watch?v=Z1Bk9niVNIM,,,
PyDay 2020,Online,2020-12-14,11,,Keynote,https://pyday.cl/2020/#schedule,Lorena Mesa,"Lo que hablo de Python: Diversidad, Inclusión y Comunidad",https://www.youtube.com/watch?v=JkjxOnBvzww,,,
PyDay 2020,Online,2020-12-15,12,,Charla,https://pyday.cl/2020/#schedule,Elian Laura,Creando comunidad para el cambio: PyLadies Arequipa,https://www.youtube.com/watch?v=YwobduT4oRU,,,
PyDay 2020,Online,2020-12-16,13,,Charla,https://pyday.cl/2020/#schedule,Daniel Undurraga,Origenes de Cornershop y por qué usamos Python,https://www.youtube.com/watch?v=HXlhR1x6pLw,,,
PyDay 2020,Online,2020-12-17,14,,Charla,https://pyday.cl/2020/#schedule,Matías Carrasco,LHLab: Visualización rápida de datos y aplicaciones con Streamlit,https://www.youtube.com/watch?v=tknZjO21MyE,,,
PyDay 2020,Online,2020-12-18,15,,Charla,https://pyday.cl/2020/#schedule,Jorge Avarias,El uso de Python en un radiotelescopio,https://www.youtube.com/watch?v=xzd9KLM8jAc,,,
PyDay 2020,Online,2020-12-19,16,,Charla,https://pyday.cl/2020/#schedule,Claudio Salazar,Secure software development using Python,https://www.youtube.com/watch?v=CBe01R4avf0,,,
PyDay 2020,Online,2020-12-20,17,,Charla,https://pyday.cl/2020/#schedule,Camila Rangel Smith,LA-CoNGA Physics colaboración en educación científica entre América Latina y EU,https://www.youtube.com/watch?v=rtwgQZFiNXE,,,
PyDay 2020,Online,2020-12-21,18,,Charla,https://pyday.cl/2020/#schedule,Joaquín Menendez,Aproximándonos a Data Science con Python,https://www.youtube.com/watch?v=hKsep8qZTfE,,,
PyDay 2020,Online,2020-12-22,19,,Charla,https://pyday.cl/2020/#schedule,Marco Muñoz,Proyecciones del Mercado Laboral IT,https://www.youtube.com/watch?v=mZ_WG47QKMo,,,
PyDay 2020,Online,2020-12-23,20,,Charla,https://pyday.cl/2020/#schedule,Ivan Muñoz,Secuencias de operación en el ELT (Extremely Large Telescope),https://www.youtube.com/watch?v=fGBhkxGNLxs,,,
PyDay 2020,Online,2020-12-24,21,,Charla,https://pyday.cl/2020/#schedule,Stefanni Cavaletto,Azure Cognitive Services with Python,https://www.youtube.com/watch?v=pRtcjSyGhqM,,,
PyDay 2020,Online,2020-12-25,22,,Charla,https://pyday.cl/2020/#schedule,Luis Jaraquemada,Encapsulamiento y Metaclases al Estilo Python,https://www.youtube.com/watch?v=f0j-D5Gn2RY,,,
PyDay 2020,Online,2020-12-26,23,,Charla,https://pyday.cl/2020/#schedule,Alejandro Sánchez,Las 10 cosas que quisiera que me hubieran dicho cuando estaba aprendiendo Python,https://www.youtube.com/watch?v=aF9k9Vhz9_I,,,
PyDay 2020,Online,2020-12-27,24,,Charla,https://pyday.cl/2020/#schedule,Manuel Moisés Merino Piceros,Python en la industria 4.0,https://www.youtube.com/watch?v=th7WbnOlGAg,,,
PyDay 2020,Online,2020-12-28,25,,Charla,https://pyday.cl/2020/#schedule,Mario García,Mejores herramientas para gestionar tu proyecto Python,https://www.youtube.com/watch?v=dJ-H-m8T_Nk,,,
PyDay 2020,Online,2020-12-29,26,,Charla,https://pyday.cl/2020/#schedule,Alejandro Cataldo,Python como herramienta para apoyar procesos de toma de decisiones,https://www.youtube.com/watch?v=U_t4lm1HkrU,,,
PyDay 2020,Online,2020-12-30,27,,Charla,https://pyday.cl/2020/#schedule,Oscar Terrazas,Las tecnologías más demandadas por las empresas en Silicon Valley,https://www.youtube.com/watch?v=Jxm75bsVndk,,,
Otros eventos,Online,2021-09-20,1,,Charla,,Oscar Terrazas,Las habilidades más demandadas por las startups de Silicon Valley,https://www.youtube.com/watch?v=Xbq1vDgPVdA,startup; habilidades; silicon valley,,
Otros eventos,Online,2021-01-05,2,,Charla,,Stephanie Frías,Taller PyLadies - Introducción a Python,https://www.youtube.com/watch?v=EeOp9Lpgjso,python; aprender,,
Otros eventos,Online,2021-01-05,3,,Charla,,Alejandro Weinstein; Roberto Carrasco; Wenceslao Palma; Gabriela Montenegro; Roberto León; Roberto Asin; ,Mesa de Discusión - Python y educación: desafíos para el futuro,https://www.youtube.com/watch?v=C3OfuSF-5do,python; educación; desafíos;,,
Otros eventos,Online,2021-08-24,4,,Charla,,Cristián Maureira-Fredes,Creando propuestas de charlas,https://www.youtube.com/watch?v=gnXDxtpz2OI,pycon; pyday; charlas; consejos; propuesta,,